# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-24 15:29:54 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05543830 FOX RIVER AT WAUKESHA, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05543830
#            TS   parameter     statistic     Description
#        155309       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	155309_00060_00003	155309_00060_00003_cd
USGS	05543830	1963-07-14	9.00	A
USGS	05543830	1963-07-15	9.00	A
USGS	05543830	1963-07-16	9.00	A
USGS	05543830	1963-07-17	10.0	A
USGS	05543830	1963-07-18	8.20	A
USGS	05543830	1963-07-19	10.0	A
USGS	05543830	1963-07-20	7.40	A
USGS	05543830	1963-07-21	7.80	A
USGS	05543830	1963-07-22	12.0	A
USGS	05543830	1963-07-23	8.20	A
USGS	05543830	1963-07-24	7.40	A
USGS	05543830	1963-07-25	7.00	A
USGS	05543830	1963-07-26	7.00	A
USGS	05543830	1963-07-27	5.40	A
USGS	05543830	1963-07-28	5.40	A
USGS	05543830	1963-07-29	6.20	A
USGS	05543830	1963-07-30	6.20	A
USGS	05543830	1963-07-31	7.00	A
USGS	05543830	1963-08-01	6.20	A
USGS	05543830	1963-08-02	7.80	A
USGS	05543830	1963-08-03	23.0	A
USGS	05543830	1963-08-04	10.0	A
USGS	05543830	1963-08-05	9.50	A
USGS	05543830	1963-08-06	8.20	A
USGS	05543830	1963-08-07	7.40	A
USGS	05543830	1963-08-08	11.0	A
USGS	05543830	1963-08-09	8.20	A
USGS	05543830	1963-08-10	6.20	A
USGS	05543830	1963-08-11	6.20	A
USGS	05543830	1963-08-12	13.0	A
USGS	05543830	1963-08-13	9.50	A
USGS	05543830	1963-08-14	7.80	A
USGS	05543830	1963-08-15	8.20	A
USGS	05543830	1963-08-16	10.0	A
USGS	05543830	1963-08-17	9.00	A
USGS	05543830	1963-08-18	7.00	A
USGS	05543830	1963-08-19	7.80	A
USGS	05543830	1963-08-20	7.80	A
USGS	05543830	1963-08-21	7.40	A
USGS	05543830	1963-08-22	6.60	A
USGS	05543830	1963-08-23	6.60	A
USGS	05543830	1963-08-24	5.80	A
USGS	05543830	1963-08-25	4.80	A
USGS	05543830	1963-08-26	5.40	A
USGS	05543830	1963-08-27	6.20	A
USGS	05543830	1963-08-28	9.50	A
USGS	05543830	1963-08-29	7.00	A
USGS	05543830	1963-08-30	6.60	A
USGS	05543830	1963-08-31	5.40	A
USGS	05543830	1963-09-01	5.00	A
USGS	05543830	1963-09-02	6.60	A
USGS	05543830	1963-09-03	6.60	A
USGS	05543830	1963-09-04	5.80	A
USGS	05543830	1963-09-05	5.40	A
USGS	05543830	1963-09-06	6.20	A
USGS	05543830	1963-09-07	5.00	A
USGS	05543830	1963-09-08	4.80	A
USGS	05543830	1963-09-09	5.80	A
USGS	05543830	1963-09-10	5.40	A
USGS	05543830	1963-09-11	11.0	A
USGS	05543830	1963-09-12	7.80	A
USGS	05543830	1963-09-13	5.80	A
USGS	05543830	1963-09-14	5.00	A
USGS	05543830	1963-09-15	4.80	A
USGS	05543830	1963-09-16	5.40	A
USGS	05543830	1963-09-17	5.80	A
USGS	05543830	1963-09-18	5.80	A
USGS	05543830	1963-09-19	8.60	A
USGS	05543830	1963-09-20	7.00	A
USGS	05543830	1963-09-21	5.00	A
USGS	05543830	1963-09-22	4.80	A
USGS	05543830	1963-09-23	5.40	A
USGS	05543830	1963-09-24	5.80	A
USGS	05543830	1963-09-25	6.60	A
USGS	05543830	1963-09-26	6.60	A
USGS	05543830	1963-09-27	6.20	A
USGS	05543830	1963-09-28	14.0	A
USGS	05543830	1963-09-29	7.80	A
USGS	05543830	1963-09-30	7.40	A
USGS	05543830	1963-10-01	6.20	A
USGS	05543830	1963-10-02	6.60	A
USGS	05543830	1963-10-03	6.20	A
USGS	05543830	1963-10-04	6.20	A
USGS	05543830	1963-10-05	5.40	A
USGS	05543830	1963-10-06	5.40	A
USGS	05543830	1963-10-07	6.60	A
USGS	05543830	1963-10-08	6.20	A
USGS	05543830	1963-10-09	6.20	A
USGS	05543830	1963-10-10	6.20	A
USGS	05543830	1963-10-11	7.40	A
USGS	05543830	1963-10-12	4.50	A
USGS	05543830	1963-10-13	4.50	A
USGS	05543830	1963-10-14	5.80	A
USGS	05543830	1963-10-15	7.00	A
USGS	05543830	1963-10-16	8.60	A
USGS	05543830	1963-10-17	7.00	A
USGS	05543830	1963-10-18	7.00	A
USGS	05543830	1963-10-19	5.80	A
USGS	05543830	1963-10-20	6.20	A
USGS	05543830	1963-10-21	6.20	A
USGS	05543830	1963-10-22	7.40	A
USGS	05543830	1963-10-23	8.20	A
USGS	05543830	1963-10-24	7.40	A
USGS	05543830	1963-10-25	7.40	A
USGS	05543830	1963-10-26	6.60	A
USGS	05543830	1963-10-27	5.00	A
USGS	05543830	1963-10-28	6.20	A
USGS	05543830	1963-10-29	6.60	A
USGS	05543830	1963-10-30	6.60	A
USGS	05543830	1963-10-31	7.00	A
USGS	05543830	1963-11-01	6.60	A
USGS	05543830	1963-11-02	5.40	A
USGS	05543830	1963-11-03	5.40	A
USGS	05543830	1963-11-04	6.60	A
USGS	05543830	1963-11-05	7.00	A
USGS	05543830	1963-11-06	7.00	A
USGS	05543830	1963-11-07	7.00	A
USGS	05543830	1963-11-08	6.60	A
USGS	05543830	1963-11-09	8.60	A
USGS	05543830	1963-11-10	6.60	A
USGS	05543830	1963-11-11	7.00	A
USGS	05543830	1963-11-12	7.40	A
USGS	05543830	1963-11-13	7.00	A
USGS	05543830	1963-11-14	7.00	A
USGS	05543830	1963-11-15	6.60	A
USGS	05543830	1963-11-16	5.40	A
USGS	05543830	1963-11-17	6.20	A
USGS	05543830	1963-11-18	8.90	A
USGS	05543830	1963-11-19	6.60	A
USGS	05543830	1963-11-20	9.00	A
USGS	05543830	1963-11-21	7.40	A
USGS	05543830	1963-11-22	17.0	A
USGS	05543830	1963-11-23	21.0	A
USGS	05543830	1963-11-24	14.0	A
USGS	05543830	1963-11-25	10.0	A
USGS	05543830	1963-11-26	8.20	A
USGS	05543830	1963-11-27	8.20	A
USGS	05543830	1963-11-28	7.00	A
USGS	05543830	1963-11-29	7.00	A
USGS	05543830	1963-11-30	6.60	A
USGS	05543830	1963-12-01	6.20	A
USGS	05543830	1963-12-02	5.80	A
USGS	05543830	1963-12-03	5.60	A
USGS	05543830	1963-12-04	5.60	A
USGS	05543830	1963-12-05	5.80	A
USGS	05543830	1963-12-06	6.00	A
USGS	05543830	1963-12-07	6.20	A
USGS	05543830	1963-12-08	6.80	A
USGS	05543830	1963-12-09	7.60	A
USGS	05543830	1963-12-10	7.40	A
USGS	05543830	1963-12-11	7.20	A
USGS	05543830	1963-12-12	6.60	A
USGS	05543830	1963-12-13	5.80	A
USGS	05543830	1963-12-14	4.80	A
USGS	05543830	1963-12-15	4.40	A
USGS	05543830	1963-12-16	4.20	A
USGS	05543830	1963-12-17	4.00	A
USGS	05543830	1963-12-18	3.90	A
USGS	05543830	1963-12-19	3.80	A
USGS	05543830	1963-12-20	3.70	A
USGS	05543830	1963-12-21	3.60	A
USGS	05543830	1963-12-22	3.50	A
USGS	05543830	1963-12-23	3.50	A
USGS	05543830	1963-12-24	3.50	A
USGS	05543830	1963-12-25	3.50	A
USGS	05543830	1963-12-26	3.50	A
USGS	05543830	1963-12-27	3.40	A
USGS	05543830	1963-12-28	3.30	A
USGS	05543830	1963-12-29	3.20	A
USGS	05543830	1963-12-30	3.20	A
USGS	05543830	1963-12-31	3.20	A
USGS	05543830	1964-01-01	3.20	A
USGS	05543830	1964-01-02	3.50	A
USGS	05543830	1964-01-03	3.80	A
USGS	05543830	1964-01-04	3.70	A
USGS	05543830	1964-01-05	3.70	A
USGS	05543830	1964-01-06	3.60	A
USGS	05543830	1964-01-07	3.70	A
USGS	05543830	1964-01-08	3.80	A
USGS	05543830	1964-01-09	3.90	A
USGS	05543830	1964-01-10	3.70	A
USGS	05543830	1964-01-11	3.50	A
USGS	05543830	1964-01-12	3.50	A
USGS	05543830	1964-01-13	3.50	A
USGS	05543830	1964-01-14	3.50	A
USGS	05543830	1964-01-15	3.50	A
USGS	05543830	1964-01-16	3.50	A
USGS	05543830	1964-01-17	3.60	A
USGS	05543830	1964-01-18	3.70	A
USGS	05543830	1964-01-19	4.00	A
USGS	05543830	1964-01-20	7.80	A
USGS	05543830	1964-01-21	6.20	A
USGS	05543830	1964-01-22	8.20	A
USGS	05543830	1964-01-23	8.60	A
USGS	05543830	1964-01-24	30.0	A
USGS	05543830	1964-01-25	18.0	A
USGS	05543830	1964-01-26	11.0	A
USGS	05543830	1964-01-27	8.40	A
USGS	05543830	1964-01-28	6.80	A
USGS	05543830	1964-01-29	7.40	A
USGS	05543830	1964-01-30	7.80	A
USGS	05543830	1964-01-31	7.80	A
USGS	05543830	1964-02-01	6.60	A
USGS	05543830	1964-02-02	6.20	A
USGS	05543830	1964-02-03	7.00	A
USGS	05543830	1964-02-04	7.40	A
USGS	05543830	1964-02-05	7.80	A
USGS	05543830	1964-02-06	8.20	A
USGS	05543830	1964-02-07	7.80	A
USGS	05543830	1964-02-08	6.60	A
USGS	05543830	1964-02-09	6.20	A
USGS	05543830	1964-02-10	6.00	A
USGS	05543830	1964-02-11	6.00	A
USGS	05543830	1964-02-12	6.00	A
USGS	05543830	1964-02-13	5.80	A
USGS	05543830	1964-02-14	5.60	A
USGS	05543830	1964-02-15	5.80	A
USGS	05543830	1964-02-16	5.80	A
USGS	05543830	1964-02-17	6.20	A
USGS	05543830	1964-02-18	6.60	A
USGS	05543830	1964-02-19	6.60	A
USGS	05543830	1964-02-20	6.40	A
USGS	05543830	1964-02-21	6.20	A
USGS	05543830	1964-02-22	6.00	A
USGS	05543830	1964-02-23	5.80	A
USGS	05543830	1964-02-24	5.60	A
USGS	05543830	1964-02-25	5.40	A
USGS	05543830	1964-02-26	5.40	A
USGS	05543830	1964-02-27	5.40	A
USGS	05543830	1964-02-28	5.40	A
USGS	05543830	1964-02-29	5.60	A
USGS	05543830	1964-03-01	6.60	A
USGS	05543830	1964-03-02	8.20	A
USGS	05543830	1964-03-03	10.0	A
USGS	05543830	1964-03-04	12.0	A
USGS	05543830	1964-03-05	11.0	A
USGS	05543830	1964-03-06	11.0	A
USGS	05543830	1964-03-07	15.0	A
USGS	05543830	1964-03-08	14.0	A
USGS	05543830	1964-03-09	16.0	A
USGS	05543830	1964-03-10	15.0	A
USGS	05543830	1964-03-11	15.0	A
USGS	05543830	1964-03-12	19.0	A
USGS	05543830	1964-03-13	50.0	A
USGS	05543830	1964-03-14	124	A
USGS	05543830	1964-03-15	120	A
USGS	05543830	1964-03-16	103	A
USGS	05543830	1964-03-17	78.0	A
USGS	05543830	1964-03-18	64.0	A
USGS	05543830	1964-03-19	78.0	A
USGS	05543830	1964-03-20	34.0	A
USGS	05543830	1964-03-21	18.0	A
USGS	05543830	1964-03-22	35.0	A
USGS	05543830	1964-03-23	37.0	A
USGS	05543830	1964-03-24	36.0	A
USGS	05543830	1964-03-25	33.0	A
USGS	05543830	1964-03-26	26.0	A
USGS	05543830	1964-03-27	24.0	A
USGS	05543830	1964-03-28	23.0	A
USGS	05543830	1964-03-29	23.0	A
USGS	05543830	1964-03-30	23.0	A
USGS	05543830	1964-03-31	24.0	A
USGS	05543830	1964-04-01	28.0	A
USGS	05543830	1964-04-02	41.0	A
USGS	05543830	1964-04-03	85.0	A
USGS	05543830	1964-04-04	85.0	A
USGS	05543830	1964-04-05	86.0	A
USGS	05543830	1964-04-06	170	A
USGS	05543830	1964-04-07	237	A
USGS	05543830	1964-04-08	286	A
USGS	05543830	1964-04-09	216	A
USGS	05543830	1964-04-10	159	A
USGS	05543830	1964-04-11	132	A
USGS	05543830	1964-04-12	111	A
USGS	05543830	1964-04-13	101	A
USGS	05543830	1964-04-14	82.0	A
USGS	05543830	1964-04-15	86.0	A
USGS	05543830	1964-04-16	68.0	A
USGS	05543830	1964-04-17	70.0	A
USGS	05543830	1964-04-18	70.0	A
USGS	05543830	1964-04-19	62.0	A
USGS	05543830	1964-04-20	60.0	A
USGS	05543830	1964-04-21	104	A
USGS	05543830	1964-04-22	116	A
USGS	05543830	1964-04-23	109	A
USGS	05543830	1964-04-24	96.0	A
USGS	05543830	1964-04-25	85.0	A
USGS	05543830	1964-04-26	77.0	A
USGS	05543830	1964-04-27	80.0	A
USGS	05543830	1964-04-28	90.0	A
USGS	05543830	1964-04-29	97.0	A
USGS	05543830	1964-04-30	98.0	A
USGS	05543830	1964-05-01	96.0	A
USGS	05543830	1964-05-02	101	A
USGS	05543830	1964-05-03	98.0	A
USGS	05543830	1964-05-04	95.0	A
USGS	05543830	1964-05-05	90.0	A
USGS	05543830	1964-05-06	83.0	A
USGS	05543830	1964-05-07	106	A
USGS	05543830	1964-05-08	159	A
USGS	05543830	1964-05-09	157	A
USGS	05543830	1964-05-10	121	A
USGS	05543830	1964-05-11	91.0	A
USGS	05543830	1964-05-12	74.0	A
USGS	05543830	1964-05-13	76.0	A
USGS	05543830	1964-05-14	71.0	A
USGS	05543830	1964-05-15	70.0	A
USGS	05543830	1964-05-16	90.0	A
USGS	05543830	1964-05-17	150	A
USGS	05543830	1964-05-18	130	A
USGS	05543830	1964-05-19	94.0	A
USGS	05543830	1964-05-20	78.0	A
USGS	05543830	1964-05-21	66.0	A
USGS	05543830	1964-05-22	54.0	A
USGS	05543830	1964-05-23	46.0	A
USGS	05543830	1964-05-24	40.0	A
USGS	05543830	1964-05-25	34.0	A
USGS	05543830	1964-05-26	30.0	A
USGS	05543830	1964-05-27	27.0	A
USGS	05543830	1964-05-28	25.0	A
USGS	05543830	1964-05-29	19.0	A
USGS	05543830	1964-05-30	18.0	A
USGS	05543830	1964-05-31	19.0	A
USGS	05543830	1964-06-01	18.0	A
USGS	05543830	1964-06-02	18.0	A
USGS	05543830	1964-06-03	18.0	A
USGS	05543830	1964-06-04	17.0	A
USGS	05543830	1964-06-05	16.0	A
USGS	05543830	1964-06-06	16.0	A
USGS	05543830	1964-06-07	15.0	A
USGS	05543830	1964-06-08	14.0	A
USGS	05543830	1964-06-09	14.0	A
USGS	05543830	1964-06-10	15.0	A
USGS	05543830	1964-06-11	18.0	A
USGS	05543830	1964-06-12	19.0	A
USGS	05543830	1964-06-13	18.0	A
USGS	05543830	1964-06-14	16.0	A
USGS	05543830	1964-06-15	16.0	A
USGS	05543830	1964-06-16	13.0	A
USGS	05543830	1964-06-17	13.0	A
USGS	05543830	1964-06-18	13.0	A
USGS	05543830	1964-06-19	14.0	A
USGS	05543830	1964-06-20	14.0	A
USGS	05543830	1964-06-21	14.0	A
USGS	05543830	1964-06-22	44.0	A
USGS	05543830	1964-06-23	80.0	A
USGS	05543830	1964-06-24	26.0	A
USGS	05543830	1964-06-25	19.0	A
USGS	05543830	1964-06-26	17.0	A
USGS	05543830	1964-06-27	15.0	A
USGS	05543830	1964-06-28	14.0	A
USGS	05543830	1964-06-29	13.0	A
USGS	05543830	1964-06-30	12.0	A
USGS	05543830	1964-07-01	15.0	A
USGS	05543830	1964-07-02	14.0	A
USGS	05543830	1964-07-03	12.0	A
USGS	05543830	1964-07-04	11.0	A
USGS	05543830	1964-07-05	16.0	A
USGS	05543830	1964-07-06	15.0	A
USGS	05543830	1964-07-07	14.0	A
USGS	05543830	1964-07-08	10.0	A
USGS	05543830	1964-07-09	9.50	A
USGS	05543830	1964-07-10	9.00	A
USGS	05543830	1964-07-11	8.20	A
USGS	05543830	1964-07-12	7.40	A
USGS	05543830	1964-07-13	10.0	A
USGS	05543830	1964-07-14	10.0	A
USGS	05543830	1964-07-15	9.00	A
USGS	05543830	1964-07-16	10.0	A
USGS	05543830	1964-07-17	28.0	A
USGS	05543830	1964-07-18	97.0	A
USGS	05543830	1964-07-19	82.0	A
USGS	05543830	1964-07-20	116	A
USGS	05543830	1964-07-21	201	A
USGS	05543830	1964-07-22	292	A
USGS	05543830	1964-07-23	314	A
USGS	05543830	1964-07-24	280	A
USGS	05543830	1964-07-25	237	A
USGS	05543830	1964-07-26	180	A
USGS	05543830	1964-07-27	165	A
USGS	05543830	1964-07-28	133	A
USGS	05543830	1964-07-29	87.0	A
USGS	05543830	1964-07-30	61.0	A
USGS	05543830	1964-07-31	53.0	A
USGS	05543830	1964-08-01	40.0	A
USGS	05543830	1964-08-02	29.0	A
USGS	05543830	1964-08-03	23.0	A
USGS	05543830	1964-08-04	20.0	A
USGS	05543830	1964-08-05	16.0	A
USGS	05543830	1964-08-06	14.0	A
USGS	05543830	1964-08-07	11.0	A
USGS	05543830	1964-08-08	10.0	A
USGS	05543830	1964-08-09	10.0	A
USGS	05543830	1964-08-10	10.0	A
USGS	05543830	1964-08-11	15.0	A
USGS	05543830	1964-08-12	12.0	A
USGS	05543830	1964-08-13	12.0	A
USGS	05543830	1964-08-14	12.0	A
USGS	05543830	1964-08-15	10.0	A
USGS	05543830	1964-08-16	12.0	A
USGS	05543830	1964-08-17	12.0	A
USGS	05543830	1964-08-18	11.0	A
USGS	05543830	1964-08-19	10.0	A
USGS	05543830	1964-08-20	10.0	A
USGS	05543830	1964-08-21	45.0	A
USGS	05543830	1964-08-22	25.0	A
USGS	05543830	1964-08-23	24.0	A
USGS	05543830	1964-08-24	21.0	A
USGS	05543830	1964-08-25	17.0	A
USGS	05543830	1964-08-26	15.0	A
USGS	05543830	1964-08-27	15.0	A
USGS	05543830	1964-08-28	12.0	A
USGS	05543830	1964-08-29	10.0	A
USGS	05543830	1964-08-30	12.0	A
USGS	05543830	1964-08-31	10.0	A
USGS	05543830	1964-09-01	9.50	A
USGS	05543830	1964-09-02	10.0	A
USGS	05543830	1964-09-03	10.0	A
USGS	05543830	1964-09-04	10.0	A
USGS	05543830	1964-09-05	9.50	A
USGS	05543830	1964-09-06	9.50	A
USGS	05543830	1964-09-07	9.00	A
USGS	05543830	1964-09-08	10.0	A
USGS	05543830	1964-09-09	9.50	A
USGS	05543830	1964-09-10	11.0	A
