#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-07-24 14:53:58 EDT      (caww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 05543830 FOX RIVER AT WAUKESHA, WI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		155309	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	05543830	00060	155309	2	19	1963	2018	56	1984	351	1964	6.60	102	10	25	36	39	76	137	161	246	302
USGS	05543830	00060	155309	2	20	1963	2018	56	2018	669	1963	6.00	121	10	23	38	42	78	175	191	280	369
USGS	05543830	00060	155309	2	21	1963	2018	56	2018	853	1963	6.00	131	10	23	39	43	81	177	196	259	555
USGS	05543830	00060	155309	2	22	1963	2018	56	2018	757	1963	6.00	130	12	24	39	44	88	165	176	282	565
USGS	05543830	00060	155309	2	23	1963	2018	56	2018	641	1964	5.80	126	12	25	41	48	89	154	167	298	429
USGS	05543830	00060	155309	2	24	1963	2018	56	2018	537	1964	5.60	129	12	27	40	51	93	156	195	350	442
USGS	05543830	00060	155309	2	25	1963	2018	56	1985	574	1964	5.40	131	11	24	44	51	82	151	220	336	460
USGS	05543830	00060	155309	2	26	1963	2018	56	1985	634	1964	5.40	130	11	23	41	49	84	164	223	306	391
USGS	05543830	00060	155309	2	27	1963	2018	56	1985	514	1964	5.40	129	11	24	39	49	90	193	213	323	441
USGS	05543830	00060	155309	2	28	1963	2018	56	1971	532	1964	5.40	126	12	23	42	43	88	159	204	298	421
USGS	05543830	00060	155309	2	29	1964	2016	14	1976	282	1964	5.60	119		9.8	48	50	134	154	161	226	
USGS	05543830	00060	155309	3	1	1963	2018	56	1971	585	1964	6.60	131	15	22	41	47	115	160	206	250	387
USGS	05543830	00060	155309	3	2	1963	2018	56	1971	520	1964	8.20	135	14	23	39	47	109	182	199	305	358
USGS	05543830	00060	155309	3	3	1963	2018	56	1974	660	1964	10.0	150	13	25	44	53	112	193	248	327	488
USGS	05543830	00060	155309	3	4	1963	2018	56	1974	1420	1964	12.0	164	17	29	40	51	111	180	236	310	504
USGS	05543830	00060	155309	3	5	1963	2018	56	1974	1440	1964	11.0	178	20	27	42	53	112	182	230	330	922
USGS	05543830	00060	155309	3	6	1963	2018	56	1965	1120	1964	11.0	176	19	28	43	53	108	213	227	323	957
USGS	05543830	00060	155309	3	7	1963	2018	56	1965	990	1968	14.0	173	18	28	46	65	115	219	241	321	791
USGS	05543830	00060	155309	3	8	1963	2018	56	1976	665	1968	13.0	170	14	31	47	64	130	229	255	353	599
USGS	05543830	00060	155309	3	9	1963	2018	56	1974	632	1963	13.0	176	16	33	50	61	133	248	274	384	556
USGS	05543830	00060	155309	3	10	1963	2018	56	2009	780	1968	14.0	183	15	46	56	69	155	253	291	376	485
USGS	05543830	00060	155309	3	11	1963	2018	56	2009	789	1964	15.0	194	16	51	70	78	152	267	288	467	551
USGS	05543830	00060	155309	3	12	1963	2018	56	1986	659	1968	14.0	196	19	49	72	83	157	259	276	475	585
USGS	05543830	00060	155309	3	13	1963	2018	56	1986	708	1963	19.0	204	29	49	75	92	150	257	282	495	593
USGS	05543830	00060	155309	3	14	1963	2018	56	1986	720	1963	25.0	211	36	52	82	93	140	264	351	475	626
USGS	05543830	00060	155309	3	15	1963	2018	56	1986	643	1968	24.0	210	39	53	76	96	146	300	367	465	585
USGS	05543830	00060	155309	3	16	1963	2018	56	1971	601	1968	22.0	204	47	61	92	98	139	298	360	444	560
USGS	05543830	00060	155309	3	17	1963	2018	56	1971	585	1968	23.0	200	46	65	94	100	142	311	337	397	520
USGS	05543830	00060	155309	3	18	1963	2018	56	1986	578	1968	31.0	201	50	61	92	99	155	282	303	403	546
USGS	05543830	00060	155309	3	19	1963	2018	56	1979	777	1968	33.0	212	52	71	97	105	160	270	293	400	580
USGS	05543830	00060	155309	3	20	1963	2018	56	1979	1180	1964	34.0	219	49	76	93	108	157	246	288	438	599
USGS	05543830	00060	155309	3	21	1963	2018	56	1979	1210	1964	18.0	225	50	75	96	108	167	238	258	527	726
USGS	05543830	00060	155309	3	22	1963	2018	56	1975	1140	1968	29.0	223	65	77	88	104	165	232	260	489	759
USGS	05543830	00060	155309	3	23	1963	2018	56	1975	1100	1968	26.0	220	62	77	90	105	160	243	254	476	842
USGS	05543830	00060	155309	3	24	1963	2018	56	1975	910	1968	22.0	219	60	75	94	105	160	253	269	424	789
USGS	05543830	00060	155309	3	25	1963	2018	56	2011	753	1968	19.0	211	57	76	101	108	171	243	302	445	654
USGS	05543830	00060	155309	3	26	1963	2018	56	2011	604	1968	22.0	203	55	70	101	115	175	244	280	418	553
USGS	05543830	00060	155309	3	27	1963	2018	56	1979	515	1968	23.0	200	56	83	101	106	169	251	302	434	469
USGS	05543830	00060	155309	3	28	1963	2018	56	1991	571	1964	23.0	201	57	81	98	114	180	253	292	394	446
USGS	05543830	00060	155309	3	29	1963	2018	56	1991	575	1964	23.0	201	65	80	95	105	173	285	311	353	426
USGS	05543830	00060	155309	3	30	1963	2018	56	1979	659	1964	23.0	202	62	76	99	106	166	270	320	371	423
USGS	05543830	00060	155309	3	31	1963	2018	56	1979	889	1964	24.0	213	58	75	92	114	159	271	316	421	498
USGS	05543830	00060	155309	4	1	1963	2018	56	1979	865	1964	28.0	220	54	74	96	103	162	298	306	440	599
USGS	05543830	00060	155309	4	2	1963	2018	56	1979	728	1968	35.0	215	51	70	89	110	158	295	320	436	569
USGS	05543830	00060	155309	4	3	1963	2018	56	1983	896	1968	50.0	231	57	77	90	104	154	295	364	492	659
USGS	05543830	00060	155309	4	4	1963	2018	56	1983	1050	2000	51.0	241	65	81	99	105	155	300	334	518	810
USGS	05543830	00060	155309	4	5	1963	2018	56	1982	930	2000	47.0	231	66	83	98	104	145	285	322	511	752
USGS	05543830	00060	155309	4	6	1963	2018	56	1983	766	2000	47.0	218	57	73	95	100	159	292	313	443	640
USGS	05543830	00060	155309	4	7	1963	2018	56	1965	724	1963	49.0	219	59	77	90	96	155	306	338	479	628
USGS	05543830	00060	155309	4	8	1963	2018	56	1965	719	1968	49.0	220	70	76	91	102	166	293	360	414	578
USGS	05543830	00060	155309	4	9	1963	2018	56	1965	588	1968	48.0	236	67	77	93	99	204	324	362	525	571
USGS	05543830	00060	155309	4	10	1963	2018	56	2013	910	1968	41.0	247	63	76	90	99	166	321	368	522	711
USGS	05543830	00060	155309	4	11	1963	2018	56	2013	1180	1968	37.0	253	64	71	85	101	169	329	389	472	895
USGS	05543830	00060	155309	4	12	1963	2018	56	2013	1200	1968	35.0	252	62	70	97	106	182	322	371	523	843
USGS	05543830	00060	155309	4	13	1963	2018	56	2013	1140	1968	35.0	242	59	69	97	105	172	295	374	476	706
USGS	05543830	00060	155309	4	14	1963	2018	56	2013	960	1968	40.0	243	60	68	91	126	178	346	400	496	581
USGS	05543830	00060	155309	4	15	1963	2018	56	1974	874	1968	44.0	256	61	72	96	123	174	380	406	580	693
USGS	05543830	00060	155309	4	16	1963	2018	56	1993	875	1968	41.0	259	60	66	95	122	187	349	402	559	772
USGS	05543830	00060	155309	4	17	1963	2018	56	1993	913	1963	49.0	244	65	70	90	110	190	319	361	491	726
USGS	05543830	00060	155309	4	18	1963	2018	56	2013	1130	1963	47.0	227	63	67	90	101	171	272	342	410	656
USGS	05543830	00060	155309	4	19	1963	2018	56	2013	1280	1963	47.0	214	61	69	90	96	162	257	299	387	501
USGS	05543830	00060	155309	4	20	1963	2018	56	1993	1280	1963	47.0	224	54	68	102	120	177	270	301	342	485
USGS	05543830	00060	155309	4	21	1963	2018	56	1973	1490	1963	41.0	246	58	72	113	126	174	273	290	347	991
USGS	05543830	00060	155309	4	22	1963	2018	56	1973	2160	1963	41.0	246	63	76	113	121	181	254	277	327	780
USGS	05543830	00060	155309	4	23	1963	2018	56	1973	1800	1963	41.0	234	61	78	104	109	168	255	263	424	779
USGS	05543830	00060	155309	4	24	1963	2018	56	1973	990	1963	40.0	213	58	69	99	108	164	234	244	415	637
USGS	05543830	00060	155309	4	25	1963	2018	56	1999	807	1963	40.0	206	58	66	96	105	163	243	274	461	504
USGS	05543830	00060	155309	4	26	1963	2018	56	2009	715	1963	39.0	208	54	63	95	101	157	234	321	482	577
USGS	05543830	00060	155309	4	27	1963	2018	56	2009	1160	1963	36.0	208	52	63	90	93	149	235	306	483	548
USGS	05543830	00060	155309	4	28	1963	2018	56	2009	1120	1963	35.0	202	50	60	92	100	144	247	314	414	536
USGS	05543830	00060	155309	4	29	1963	2018	56	2009	859	1977	41.0	192	49	59	91	100	132	250	283	385	516
USGS	05543830	00060	155309	4	30	1963	2018	56	1975	651	1977	43.0	185	59	72	90	95	131	261	287	359	458
USGS	05543830	00060	155309	5	1	1963	2018	56	1975	574	1977	43.0	185	71	81	87	96	133	243	263	376	535
USGS	05543830	00060	155309	5	2	1963	2018	56	2017	587	1977	46.0	176	66	72	79	91	135	221	254	338	473
USGS	05543830	00060	155309	5	3	1963	2018	56	2017	522	1977	44.0	167	56	61	77	81	131	227	265	343	393
USGS	05543830	00060	155309	5	4	1963	2018	56	2017	445	1977	43.0	158	55	58	71	76	135	234	269	305	390
USGS	05543830	00060	155309	5	5	1963	2018	56	2017	387	1989	40.0	147	48	53	63	76	121	221	243	284	311
USGS	05543830	00060	155309	5	6	1963	2018	56	2012	368	1977	44.0	142	47	55	62	72	106	216	223	276	323
USGS	05543830	00060	155309	5	7	1963	2018	56	2012	469	1977	42.0	140	46	52	59	68	107	194	211	264	321
USGS	05543830	00060	155309	5	8	1963	2018	56	2012	604	1977	38.0	140	48	50	58	71	112	200	215	239	302
USGS	05543830	00060	155309	5	9	1963	2018	56	2012	530	1977	34.0	141	46	50	58	72	120	187	190	241	316
USGS	05543830	00060	155309	5	10	1963	2018	56	1990	516	1977	31.0	149	46	52	65	70	122	189	197	298	370
USGS	05543830	00060	155309	5	11	1963	2018	56	1990	1060	1977	31.0	166	46	50	70	75	141	197	240	301	366
USGS	05543830	00060	155309	5	12	1963	2018	56	1990	1130	1977	32.0	186	46	50	74	91	144	251	261	328	455
USGS	05543830	00060	155309	5	13	1963	2018	56	1990	933	1977	27.0	201	45	50	70	85	145	265	286	490	638
USGS	05543830	00060	155309	5	14	1963	2018	56	2014	727	1977	24.0	203	43	50	68	75	128	250	297	612	715
USGS	05543830	00060	155309	5	15	1963	2018	56	1978	876	1977	22.0	198	44	56	70	71	122	235	281	484	698
USGS	05543830	00060	155309	5	16	1963	2018	56	2004	795	1977	21.0	185	44	53	67	73	129	228	249	422	551
USGS	05543830	00060	155309	5	17	1963	2018	56	2004	678	1977	19.0	172	44	55	64	74	125	220	289	396	460
USGS	05543830	00060	155309	5	18	1963	2018	56	2000	688	1977	19.0	168	41	55	69	76	120	226	265	360	469
USGS	05543830	00060	155309	5	19	1963	2018	56	2000	1310	1977	16.0	167	41	48	64	75	121	183	218	332	433
USGS	05543830	00060	155309	5	20	1963	2018	56	2000	1590	1977	19.0	164	41	46	58	65	113	178	195	291	473
USGS	05543830	00060	155309	5	21	1963	2018	56	2000	1130	1977	17.0	149	39	44	54	61	103	169	195	251	554
USGS	05543830	00060	155309	5	22	1963	2018	56	2004	886	1977	16.0	143	37	39	51	56	101	172	183	246	530
USGS	05543830	00060	155309	5	23	1963	2018	56	2004	1150	1977	22.0	143	34	40	46	52	98	160	176	274	438
USGS	05543830	00060	155309	5	24	1963	2018	56	2004	1270	1977	20.0	136	30	39	48	55	89	140	171	269	370
USGS	05543830	00060	155309	5	25	1963	2018	56	2004	1100	1977	16.0	130	32	37	49	60	94	136	167	271	320
USGS	05543830	00060	155309	5	26	1963	2018	56	2004	853	1977	14.0	122	29	35	48	55	94	136	180	266	286
USGS	05543830	00060	155309	5	27	1963	2018	56	2004	679	1977	16.0	114	25	33	49	54	85	130	166	254	300
USGS	05543830	00060	155309	5	28	1963	2018	56	1973	584	1977	16.0	118	26	32	45	53	79	140	157	267	396
USGS	05543830	00060	155309	5	29	1963	2018	56	1973	632	1977	15.0	117	27	31	46	51	77	128	140	276	457
USGS	05543830	00060	155309	5	30	1963	2018	56	1973	489	1977	16.0	116	21	28	45	51	91	127	150	249	447
USGS	05543830	00060	155309	5	31	1963	2018	56	2004	565	1977	17.0	114	22	28	41	45	88	133	141	241	369
USGS	05543830	00060	155309	6	1	1963	2018	56	2000	538	1977	17.0	111	22	30	40	46	88	121	135	227	394
USGS	05543830	00060	155309	6	2	1963	2018	56	2000	654	1977	16.0	118	21	25	40	52	78	155	178	232	348
USGS	05543830	00060	155309	6	3	1963	2018	56	2000	622	1964	18.0	115	22	30	39	45	77	136	161	248	410
USGS	05543830	00060	155309	6	4	1963	2018	56	2000	522	1964	17.0	109	21	30	39	49	72	134	152	236	375
USGS	05543830	00060	155309	6	5	1963	2018	56	2000	453	1964	16.0	104	25	28	41	46	70	133	146	200	377
USGS	05543830	00060	155309	6	6	1963	2018	56	2000	404	1964	16.0	101	21	31	39	42	66	122	155	240	298
USGS	05543830	00060	155309	6	7	1963	2018	56	2008	554	1964	15.0	106	25	29	38	40	65	131	157	243	337
USGS	05543830	00060	155309	6	8	1963	2018	56	2008	1810	1964	14.0	131	24	31	37	40	66	135	158	262	398
USGS	05543830	00060	155309	6	9	1963	2018	56	2008	2390	1964	14.0	140	24	33	37	42	59	135	154	248	434
USGS	05543830	00060	155309	6	10	1963	2018	56	2008	2280	1964	15.0	136	23	31	36	40	69	130	145	223	392
USGS	05543830	00060	155309	6	11	1963	2018	56	2008	1820	1964	18.0	126	27	30	34	37	68	128	154	202	361
USGS	05543830	00060	155309	6	12	1963	2018	56	2008	1450	1964	19.0	127	24	30	32	35	74	125	147	275	408
USGS	05543830	00060	155309	6	13	1963	2018	56	2008	1740	1964	18.0	137	26	31	37	39	73	113	136	288	570
USGS	05543830	00060	155309	6	14	1963	2018	56	2008	1700	1964	16.0	139	24	30	34	39	65	116	138	269	634
USGS	05543830	00060	155309	6	15	1963	2018	56	2008	1520	1964	16.0	139	22	27	34	42	73	137	178	258	545
USGS	05543830	00060	155309	6	16	1963	2018	56	2008	1260	1964	13.0	140	22	27	37	41	79	165	184	344	459
USGS	05543830	00060	155309	6	17	1963	2018	56	2008	1010	1964	13.0	139	20	30	40	43	75	157	207	373	449
USGS	05543830	00060	155309	6	18	1963	2018	56	2008	800	1964	13.0	141	20	29	37	40	79	169	254	328	487
USGS	05543830	00060	155309	6	19	1963	2018	56	2009	1160	1964	14.0	162	18	27	35	40	79	220	268	397	671
USGS	05543830	00060	155309	6	20	1963	2018	56	2009	1470	1964	14.0	162	21	25	34	38	76	179	236	461	572
USGS	05543830	00060	155309	6	21	1963	2018	56	2009	1350	1964	14.0	168	22	30	37	41	71	223	259	436	721
USGS	05543830	00060	155309	6	22	1963	2018	56	1997	1150	1963	19.0	173	22	31	38	44	71	211	284	437	669
USGS	05543830	00060	155309	6	23	1963	2018	56	1997	1290	1963	17.0	173	22	29	35	39	67	227	297	476	735
USGS	05543830	00060	155309	6	24	1963	2018	56	1997	1070	1963	17.0	155	22	26	32	37	61	215	276	416	557
USGS	05543830	00060	155309	6	25	1963	2018	56	1997	845	1963	16.0	142	20	26	31	34	60	206	249	361	659
USGS	05543830	00060	155309	6	26	1963	2018	56	2013	784	1963	16.0	133	17	26	32	41	68	203	236	302	548
USGS	05543830	00060	155309	6	27	1963	2018	56	2013	658	1964	15.0	126	18	25	31	41	71	193	234	288	478
USGS	05543830	00060	155309	6	28	1963	2018	56	2013	498	1964	14.0	121	22	26	32	38	66	173	209	302	438
USGS	05543830	00060	155309	6	29	1963	2018	56	1990	440	1964	13.0	119	19	25	30	35	59	171	201	369	417
USGS	05543830	00060	155309	6	30	1963	2018	56	1990	458	1964	12.0	113	21	24	33	36	60	155	169	369	395
USGS	05543830	00060	155309	7	1	1963	2018	56	1969	488	1964	15.0	111	17	24	29	32	57	141	164	330	399
USGS	05543830	00060	155309	7	2	1963	2018	56	1969	573	1964	14.0	112	15	22	27	29	53	147	174	295	408
USGS	05543830	00060	155309	7	3	1963	2018	56	2000	805	1964	12.0	114	14	21	27	30	51	146	169	298	505
USGS	05543830	00060	155309	7	4	1963	2018	56	2000	870	1963	10.0	110	13	21	28	30	52	141	163	282	401
USGS	05543830	00060	155309	7	5	1963	2018	56	2000	684	1963	11.0	102	15	22	29	34	45	142	155	241	350
USGS	05543830	00060	155309	7	6	1963	2018	56	2000	459	1963	10.0	93	15	23	29	31	56	121	148	238	283
USGS	05543830	00060	155309	7	7	1963	2018	56	1997	344	1963	10.0	91	13	21	27	28	60	113	168	218	328
USGS	05543830	00060	155309	7	8	1963	2018	56	1997	462	1963	10.0	96	13	18	27	30	56	126	162	241	390
USGS	05543830	00060	155309	7	9	1963	2018	56	1993	497	1964	9.50	101	13	19	27	31	58	149	154	267	408
USGS	05543830	00060	155309	7	10	1963	2018	56	1993	577	1964	9.00	97	10	18	25	28	58	136	152	221	332
USGS	05543830	00060	155309	7	11	1963	2018	56	1993	659	1964	8.20	92	12	21	24	28	52	116	132	251	292
USGS	05543830	00060	155309	7	12	1963	2018	56	2017	734	1964	7.40	98	13	16	23	27	56	110	127	252	349
USGS	05543830	00060	155309	7	13	1963	2018	56	2017	817	1971	5.80	96	12	16	23	28	55	112	119	225	318
USGS	05543830	00060	155309	7	14	1963	2018	56	2017	736	1965	7.80	94	8.9	17	24	28	51	91	128	226	349
USGS	05543830	00060	155309	7	15	1963	2018	56	2010	1070	1965	7.80	105	9.0	19	23	27	49	105	120	244	512
USGS	05543830	00060	155309	7	16	1963	2018	56	2010	1210	1963	9.00	99	13	19	25	29	47	101	115	218	413
USGS	05543830	00060	155309	7	17	1963	2018	56	2010	1040	1963	10.0	94	16	19	25	29	52	96	125	192	331
USGS	05543830	00060	155309	7	18	1963	2018	56	2010	804	1963	8.20	93	16	18	28	30	56	110	140	203	294
USGS	05543830	00060	155309	7	19	1963	2018	56	2010	622	1963	10.0	86	14	19	28	30	57	114	137	188	256
USGS	05543830	00060	155309	7	20	1963	2018	56	2010	517	1963	7.40	85	15	19	27	30	55	116	133	185	251
USGS	05543830	00060	155309	7	21	1963	2018	56	1999	542	1963	7.80	91	13	19	26	31	57	121	133	193	310
USGS	05543830	00060	155309	7	22	1963	2018	56	2010	583	1963	12.0	88	14	18	24	30	55	109	122	153	321
USGS	05543830	00060	155309	7	23	1963	2018	56	2010	1270	1963	8.20	97	12	20	25	28	56	103	108	173	318
USGS	05543830	00060	155309	7	24	1963	2018	56	2010	1610	1963	7.40	95	13	18	25	27	52	89	104	139	274
USGS	05543830	00060	155309	7	25	1963	2018	56	2010	1730	1963	7.00	92	15	19	24	27	48	82	93	133	229
USGS	05543830	00060	155309	7	26	1963	2018	56	2010	1500	1963	7.00	89	16	20	28	34	54	75	91	155	200
